CHANGE_ANALYST,CHANGE_NO,CHANGE_DESCRITPION,REASON_FOR_CHANGE,CCB_SUBMIT_DATE
Sherry Nguyen,ECO-61391,"EOS/Obsolete: EOS Plan of record update per affected items and attachments TSB16895v2.0 
MCO # M35956 should have added EOS date of 03/31/2024 to the SW and SVC SKU's but was missed while performing clean up activities of the JSA product line. This ECO is to correct that error to make the 

Transition the product numbers on affected items to obsolete lifecycle: Rev OBA

SKU's EOS as per the plan of record. QTY 29 SW SKU and 58 SVC SKUS 

Note: On 11/20/2023 TSB16895 was updated and republished with the EOS date of 3/31/2024. Agile & SAP need updating to stop renewals. Requested by PLM Ray Budavari

PDC Note: PDC to import changes via PDC change details tabs Jan 14th for both SW & SVC SKU's before release of this ECO.",Record change only to set SKU's EOS date.,47:39.0
Prameela R,ECO-61338,"**Checking with originator, it this is a record change to fix the QTY error or a real time change. Rev to track will be added if it is a new change**

Prod: CG BOM updates.

1. Change 740-128524 qty to 2 in following BOMs.
CG_CBL-C15-02
CG_CBL-C15-04",Power cord quantity correction.,33:40.0
Prameela R,ECO-61401,"Prod: Release MIST-AP/Edge Ruby-WW Product Numbers to Production Lifecycle per affected items section.

Releasing the below Ruby-WW product numbers and the associated child parts to production lifecycle:
AP47-WW
AP47D-WW
AP47E-WW

Note:
Product weights and dimensions are on the attachment tab.
Reference the attached Product Number Validation Report for ease of viewing Product Number attributes.

PDC Note: Weights, dimensions and FRS date for the SKUs will be set post approvals, prior to ECO release.",Production release,53:20.0
Pooja Siraskar,ECO-61433,"Prod: EX-Lonewolf TAA SKUs Production release.

Releasing the following SKUs to Production Lifecycle, Rev AA:
Affected Items:
EX4400-48MXP-TAA
EX4400-48XP-TAA

PDC Action: PDC to Update the FRS Date of the above SKUs = ECO Release date, post CCB Approval, prior to ECO Release.
Attach Key Validation Report","Production release of EX Lonewolf TAA SKUs.

No Pilot lifecycle change required, as all child parts in Production.",47:24.0
Sherry Nguyen,M38772,"Proto/Prod: Through this MCO, Updating the LC of respective MPNs from ""Active"" to ""EOL_Notified"" 

LTB: 08 Oct 2025
LTS: 08 Apr 2026

JPN: 320-018279 | MPN: FZT649
JPN: 310-070969 | MPN: NCD9830DBR2G
JPN: 310-035199 | MPN: NCD9830DBR2G

There is No replacement offered by Onsemi 

- CE Team recommended LTB assessment for JPN 310-070969 and 310-035199 to check whether One Active MPN from Texas will meet the high demand
- No LTB Assessment for JPN 320-018279 since its Inactive with one more Active MPN, Any Service or repair demands will be met by other Active AVL",Onsemi issued EOL notice PD26576XH [JPCN-100104893A],16:52.0
Ranjith Soundarrajan,M38528,"Prod: MCO to update AVL as illustrated below

Adding Nefab Vietnam under below JPN to ""Active"" status

550-035730 => NEFAB VIETNAM => 719297-101

Adding Packaging drawing under JPN level attachment of 550-015421. Currently available under MCO attachment","Adding Nefab Vietnam to the AVL as part of sourcing localization

Adding Packaging drawing under JPN level attachment which was missed during initial release",55:54.0
Girija Amaragol,M38595,"Proto/Prod/Inactive: MCO to update Mfr. Name as illustrated below

- Changing Mfr. Name of MPNs from ""REFLEX MALAYSIA"" to ""NEFAB MALAYSIA""

- Total of 108 JPNs are impacted by this change

- Update older Mfr. Name REFLEX MALAYSIA MPNs life cycle to Deplete

- Need to perform bulk creation of 108 AVL-MPN with new Mfr. Name ""NEFAB MALAYSIA"" in Agile. New Mfr. Name already exists in Agile

- All the change details and new AVL-MPN attributes can be found in attached excel file ""MPN - MFR Name Transition Data_REFLEX MALAYSIA to NEFAB MALAYSIA""

- JPCN-100104801 is created in PCN tool for this change

- All concerned CM / ODM are requested to take a note of this change especially from PO perspective

Note1: PCN# REF-FLEX-2024-12-10 document is attached for reference

Note2: Put ""DO NOT USE -"" prefix in front of older Mfr. Name ""REFLEX MALAYSIA""

Note to RoHS CE Review Group: # 14384 raised in Z2 for compliance field update for Mechanical part affected

PDC Note: Old Mfr will be prefixed with DO NOT USE post MCO release",Mfr. Name change based on PCN# REF-FLEX-2024-12-10 received (Reflex Malaysia has been acquired by Nefab Malaysia),55:56.0
Sunil H K,DEV-24780,"*** HTR# number to be provided before release ***

Prod: The purpose of this Deviation is to allow Flex Penang to make the following part(s) substitutions for qualification purposes

New Qual Part(s) are from,

Qual MPN 1 & MFR 1 => MAX7310AUE+T & Maxim
Qual MPN 2 & MFR 2 => PCA9557PWR & Texas

A. Replace JPN: 310-013175 with above mentioned MPN(s) on the following as described in C

B.	Mfg.Partner to work request MFR free of charge samples that will be shipped to Mfg.Partner directly from MFR, Mfg.Partner shall copy Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN & CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator on all samples related communication with MFRs.

C.	Factory Instructions:

C1. Build: 711-XXX -> 750-XXX qty= 1per below each for each new supplier for each MPN under qual 
(New AVL to be qualified: TWO suppliers) 

1. MPN 1 & MFR 1 => MAX7310AUE+T & Maxim
2. MPN 2 & MFR 2 => PCA9557PWR & Texas

Build path 

310-013175->711-078358->750-080696->750-158182->PTX10003-160C-AC = QTY = 2 

C2. Qualification samples will be only new build. However, FGI may be used for qualification samples where the SKU being requested in the DEV has not had any demand 90 days after the DEV release date.

*********************************

Qualification tests to be performed, DVT followed by ORT on DVT tested HW

********************************
1. DVT test is required - 

All Qual Assemblies need to go through full MFG test (production test and capture yield report In spared sheet and add in MCO when initiated to add 2nd source MPNs

********************************

Perform DVT per below (whichever is applicable) 

  1. PROC-9980 for products FRS in 2020 OR 
  2. PROC-8423 for products released before 2020

Specific test:

**************
HOT swap / power cycle / system reboot (which ever applicable for each DUT) 
test to be perform 100 times at 25C, COLD and HOT for each DUT  	

**************
No SW Test required

*************
ORT test > Subset of On-going Reliability Test 

1. After DVT testing completed run Subset of On-going Reliability Test (ORT test per PROC-8989) use one full system to test these cards (you can piggyback with any other ORT test) Subset of On-going Reliability Test to be run  

***********

   a> run while the system is in a hot box at an elevated temperature, typically 40-45C.   
   b> The default test time will be 168 hours (1 week).  
   c> Capture ORT test results (In spreadsheet when MCO is initiated to add 2nd source)

Additional information 
The On-going Reliability test (ORT) test is an extended reliability test which is performed under a single extreme corner case environmental condition. In general, the test will be an extended consumer-like traffic test (such as Line Rate JIT or Data Path Test) The test will not require any mastership switches, but instead will run entirely in the default mastership state as it would in a customers' environment.  If there are any product specific requirements that deviate from this process, they will be detailed in the product's test plan",Qualifying Maxim and Texas MPNs as additional sources,55:34.0
Girija Amaragol,DEV-25176,"Inactive/proto/prod: This DEV is to allow FOXCONN-VIETNAM to use material with old date code to support production build based on good result of solderability test.

JPN 240-026719
Description: Xtal, 25MHz, 10ppm Tol, 20ppm Stabil, 16pF Load, 30 Ohm ESR, SMD, HS-49S, 2P, 4.8x11.4mm
Supplier: IMPACT LLC
MPN: 49MLR-25.00M-C2R2-16T
Total Qty to use: 3101 pcs
DC: 2222",To allow FOXCONN-VIETNAM to use material with old date code to support production build based on good result of solderability test,43:47.0
Sherry Nguyen,DEV-24926A,"Proto: PTX-Octomore, This deviation is authorized to use the following old DC parts on the  P1B build.

711-173321 Assy, PCA, 43.2T BXF-based 54x 800G OSFP, PTX-Octomore 

JPN: 210-151995
MFR: VISHAY
MPN: VJ0402Y472KXAPW1BC
DC: 1622
Qty Accepted: 300 pcs


JPN: 310-045595
DC: 2107 
Qty: 98
vendor: Maxim
MPN: DS1708SEUA+,

Solderability test reports are attached

Affix DEV label on the boards
Track the SNs","Reason For Deviation (A): Due to P1B is still in progress. New ""Effective To"" Date: 03/31/2025.

Part shortage for multisource qual boards",15:35.0
Sherry Nguyen,DEV-24759A,"Prod: The purpose of this DEV is to allow FMY factory to rework 740-168322 Assy, Pwr Sply AC, 6000/7800W, 200VAC-240VAC, 4-input C21 by upgrading New Firmware using the JMTF architecture.

Firmware Change details:
1. Update comm F.W from v2.9 to v3.8 Optimize FW which includes functions: black box, health check, fault LED alarm elimination, limit fan speed in case of any input changes from ok to not ok, firmware soft start functionality for main output.
2. Update secondary F.W from v2.5 to v3.1 to optimized health check  voltage threshold to 13V from 13.2V, and for soft start function.
3. Update pri F.W from v2.3 to v2.4 to cooperate comm MCU to eliminate PFC (Power factor correction) alarm


This DEV will be followed by a future change order that will encompass incoming material from the power supply supplier, and disposition customer service depot inventory.  Field inventory can be upgraded using in-system programming and will be handled with a Technical Service Bulletin.

This deviation rework instructions are needed to allow CMs and ODMs to keep shipping the PSUs affected until the permanent ECO change is finalized.

PCN attached.

This change in PSU firmware has been qualified by the Obsidian NPI Power, software, systest, and manufacturing test eng.

Special instructions:
1. “DEV-24759"" label to be installed on PSUs that are reworked under this DEV.

2. FMY to record and provide the serial nos. list to be attached in the deviation later.

3. The PSUs existing JPN, MPN revisions and CLEI codes (if any) are maintained for this DEV.

4. PTX upgrade instructions: enter the ""jmtf -dut <> -uutsubtest ManageChassis::UpgradeProgrammableRevisions -uut PSM"" command.

5. MX upgrade instructions: enter the ""jmtf -dut <> -uutsubtest ManageChassis::UpgradeProgrammableRevisions -uut PEM"" command.  Note that operator interaction will be required to do a power cycle as part of the test flow.

6. After upgrade, retest all units through FST_SPARES

7. Ship as needed to support backlog.""","Reason For Deviation (A): DEV will be used in to Support Obsidian PSU-AC2 Units. New ""Effective To"" Date: 04/17/2025.

Timeline commitments to customer.
This deviation rework instructions are needed to allow CMs and ODMs to keep shipping the PSUs affected until the permanent ECO change is finalized.",22:37.0
Ranjith Soundarrajan,ECO-61424,"proto:  MFGTEST-LOOPBACK - Loopbacks (FOR MFG TEST) Do Not Delete. This is an Engineering BOM, It needs to remain at a Preliminary Lifecycle. 

1. creating a BOM for part with rev
2. updating description from 'prelim' to 'proto' info",MFGTEST-LOOPBACK re-reacted in a system and now updating with BOM,13:39.0
Prameela R,ECO-61358,"Prod: Release MIST-AP/Edge Ruby-US and Ruby-WW Product Numbers to Production Lifecycle per affected items section.

Releasing the below Ruby-US and Ruby-WW product numbers and the associated child parts to production lifecycle:
AP47-US
AP47D-US
AP47E-US

Note: 
Product weights and dimensions are on the attachment tab.
Reference the attached Product Number Validation Report for ease of viewing Product Number attributes.

PDC Note: Weights, dimensions and FRS date for the SKUs will be set post approvals, prior to ECO release.",Production release,20:26.0
Sherry Nguyen,ECO-61431,"Prod: CG BOM updates. Update per the Affected Items Section.

1. Remove CG_CBL-C13-01, add CG_CBL-C13-NG-01 and CG_CBL-C13-PSE-TUV with qty 1 each for following SKUs.
EX4100-F-12P
EX4100-F-12T
SRX300
SRX300-C
SRX300-SYS-JB
SRX300-SYS-JE
SRX320-POE
SRX320-SYS-JB-P
SRX320-SYS-JE-P

2. Remove CG_CBL-C13-08, add CG_CBL-C13-NG-01 and CG_CBL-C13-PSE-UL with qty 1 each for following SKUs.
NFX150-C-S1
SRX320
SRX320-SYS-JB
SRX320-SYS-JE
SSR120
SSR120-AA
SSR120-AE
SSR130
SSR130-AA
SSR130-AE

3. Move CG_CBL-C13-01, CG_CBL-C13-08 to ""Inactive"" status.",Restructure CG BOMs.,14:17.0
Pooja Siraskar,ECO-61375,"Prelim_BOM: Internal Release of Obsidian fans and fan tray controllers for Scapa-16 SKUs.

Creating and Releasing the following SKUs to Prelim_BOM Lifecycle, Rev 0A:

JNP10016-FAN3
JNP10016-FTC3

Note:Refer attached product number key field validation report for ease of viewing product number attributes.",Internal Release per SST Request 0003038.,49:06.0
Ranjith Soundarrajan,M38768,"Proto: MCO to update AVL as illustrated below

Adding Cymmetrik Vietnam MPNs under respective JPNs to ""Comp_IPQ"" status

520-187765 => CYMMETRIK VIETNAM => 520-187765
520-187766 => CYMMETRIK VIETNAM => 520-187766
520-187774 => CYMMETRIK VIETNAM => 520-187774",Adding Cymmetrik Vietnam to the AVL since the ODM is Foxconn-Vietnam,26:11.0
Girija Amaragol,M38597,"Prod/Inactive: Changing MPN Lifecycle Status to “EOL_Notified"" and Technical Risk Reason to ""3 - EOL Notice from Supplier"" for below ARTESYN TECHNOLOGIES-LAGUNA MPN's

    JPN          MPN
740-045933  700-010685-0000 RevBU
740-045932  700-010684-0000_Rev:BX

PCN Document and Where used report is attached for reference.

Note: PDC will update technical risk reason before releasing this MCO","ARTESYN TECHNOLOGIES-LAGUNA has submitted the EOL PCN for the below reason:
No Demand",43:00.0
Girija Amaragol,M38745A,"****** Restore back to 01/23/2025 *******

EOL Reactivation for CS EOS Returns

Question	Answer
Customer/ Partner	Juniper CS
SKU(s)	 See the attached
Description of product	 See the attached
Quantity Requested	
Reason for Reactivation 	CSS EOS return
Requestor	Sigeon Richard A
Reason: 	To process internal transactions
PDC Action:	Temporarily change material status from EOS to EOL",EOL Reactivation for CS EOS Returns,22:25.0
Pooja Siraskar,M38763,"Prod: Remove existing Eoptolink Comp_IPQ MPNs  from AVL and adding new MPNs as Comp_IPQ.

  JPN                                Existing MPNs                             Proposed MPNs

740-088322 	               EOLQ-131HG-O-5H-J3               EOLQ-131HG-O-5H-J4            
740-088320               EOLQ-131HG-O-02-J3               EOLQ-131HG-O-02-J4
740-096178               EOLQ-131HG-O-10-J3               EOLQ-131HG-O-10-J4","Adding new Eoptolink MPNs under Comp_IPQ status & removing the existing ones, based on supplier confirmation (email attached)",46:09.0
Sherry Nguyen,DEV-25137,"Proto/Prod: Soft Deviation: This DEV is to allow Flex Penang to use old date code inventory for oscillator/crystal  (per attached PN) to support production.

240-007738
240-014105
240-014473
240-023128
240-031037
240-037795
240-044903
240-045828
240-053071
240-054786
240-054812
240-054840
240-054861
240-067405
240-067841
240-079738
240-084064
240-086944
240-094352
240-114218
240-115523
240-126496
240-151747
240-153669
240-156379

No deviation label required.","This DEV is to allow Flex Penang to use old date part to support production.
PN: 240-007738, DC: 2240, Qty: 1043, MFG PN: VCC1-B3G-2M04800000 ,MFG: MICROCHIP , Remark: 24 months and above
PN: 240-014105, DC: 2128, Qty: 182, MFG PN: VCC6-QCB-125M000000 ,MFG: MICROCHIP , Remark: 24 months and above
PN: 240-014473, DC: 2119, Qty: 282, MFG PN: S1803A-8.1920(T) ,MFG: DIODES , Remark: 24 months and above
PN: 240-023128, DC: 2313, Qty: 681, MFG PN: 9C25077004 ,MFG: TXC , Remark: Above 21 months
PN: 240-023128, DC: 2317, Qty: 1000, MFG PN: 9C25077004 ,MFG: TXC , Remark: Above 21 months
PN: 240-031037, DC: 2306, Qty: 338, MFG PN: 7C50077002 ,MFG: TXC , Remark: Above 21 months
PN: 240-031037, DC: 2317, Qty: 188, MFG PN: 7C50077002 ,MFG: TXC , Remark: Above 21 months
PN: 240-037795, DC: 2229, Qty: 17, MFG PN: STP3219 LF ,MFG: RAKON , Remark: 24 months and above
PN: 240-037795, DC: 2236, Qty: 3, MFG PN: STP3219 LF ,MFG: RAKON , Remark: 24 months and above
PN: 240-044903, DC: 2245, Qty: 700, MFG PN: VCC1-B3F-2M04800000 ,MFG: MICROCHIP , Remark: 24 months and above
PN: 240-045828, DC: 2306, Qty: 154, MFG PN: VC-708-ECW-FNXN-156M250000 ,MFG: MICROCHIP , Remark: Above 21 months
PN: 240-045828, DC: 2308, Qty: 1345, MFG PN: VC-708-ECW-FNXN-156M250000 ,MFG: MICROCHIP , Remark: Above 21 months
PN: 240-045828, DC: 2311, Qty: 688, MFG PN: VC-708-ECW-FNXN-156M250000 ,MFG: MICROCHIP , Remark: Above 21 months
PN: 240-053071, DC: 2215, Qty: 59, MFG PN: 531EC125M000DGR ,MFG: SKYWORKS , Remark: 24 months and above
PN: 240-053071, DC: 2311, Qty: 86, MFG PN: 531EC125M000DGR ,MFG: SKYWORKS , Remark: Above 21 months
PN: 240-054786, DC: 2122, Qty: 8, MFG PN: 9H03200031 ,MFG: TXC , Remark: 24 months and above
PN: 240-054812, DC: 2312, Qty: 1531, MFG PN: 512805 ,MFG: RAKON , Remark: Above 21 months
PN: 240-054812, DC: 2314, Qty: 414, MFG PN: 512805 ,MFG: RAKON , Remark: Above 21 months
PN: 240-054840, DC: 2306, Qty: 1000, MFG PN: VC-820-EAE-KAAN-33M3330000 ,MFG: MICROCHIP , Remark: Above 21 months
PN: 240-054861, DC: 2315, Qty: 2025, MFG PN: 7M54072001 ,MFG: TXC , Remark: Above 21 months
PN: 240-054861, DC: 2317, Qty: 301, MFG PN: 7M54072001 ,MFG: TXC , Remark: Above 21 months
PN: 240-067405, DC: 2309, Qty: 162, MFG PN: VC-820-EAE-EAAN-18M4320000 ,MFG: MICROCHIP , Remark: Above 21 months
PN: 240-067405, DC: 2316, Qty: 1412, MFG PN: VC-820-EAE-EAAN-18M4320000 ,MFG: MICROCHIP , Remark: Above 21 months
PN: 240-067841, DC: 2303, Qty: 87, MFG PN: STP3214LF ,MFG: RAKON , Remark: Above 21 months
PN: 240-079738, DC: 2314, Qty: 1884, MFG PN: 7X33070001 ,MFG: TXC , Remark: Above 21 months
PN: 240-084064, DC: 2201, Qty: 8, MFG PN: 545CAA50M0000BBGR ,MFG: SKYWORKS , Remark: 24 months and above
PN: 240-086944, DC: 2222, Qty: 145, MFG PN: SIT9120AC-1B2-XXE125.000000Y ,MFG: SITIME , Remark: 24 months and above
PN: 240-094352, DC: 2304, Qty: 299, MFG PN: VXM7-1367-48M0000000 ,MFG: MICROSEMI , Remark: Above 21 months
PN: 240-094352, DC: 2314, Qty: 834, MFG PN: 7M48020003 ,MFG: TXC , Remark: Above 21 months
PN: 240-114218, DC: 2302, Qty: 92, MFG PN: TG5032CGN 25.0000M-CMGHNA0 ,MFG: EPSON , Remark: Above 21 months
PN: 240-114218, DC: 2306, Qty: 1630, MFG PN: TG5032CGN 25.00000MHZ CMGHNA ,MFG: EPSON , Remark: Above 21 months
PN: 240-115523, DC: 2313, Qty: 3000, MFG PN: 7XA1470001 ,MFG: TXC , Remark: Above 21 months
PN: 240-126496, DC: 2201, Qty: 8, MFG PN: VXM7-1372-25M0000000TR ,MFG: MICROCHIP , Remark: 24 months and above
PN: 240-126496, DC: 2315, Qty: 9, MFG PN: 7M25070132 ,MFG: TXC , Remark: Above 21 months
PN: 240-151747, DC: 2237, Qty: 257, MFG PN: UX21480001 ,MFG: DIODES , Remark: 24 months and above
PN: 240-153669, DC: 2225, Qty: 1299, MFG PN: FL6000011 ,MFG: DIODES , Remark: 24 months and above
PN: 240-156379, DC: 2241, Qty: 18, MFG PN: UF32A00001 ,MFG: DIODES , Remark: 24 months and above",08:59.0
